window_id,target_id,stage,model_id,model_family,horizon_days,status,attempt_count,fraction_of_scheduled_attempts
toe_pre_topple_long,toe_E5_C,selection,expanding_median,baseline,7,ok,115,0.8646616541353384
toe_pre_topple_long,toe_E5_C,selection,persistence,baseline,1,ineligible_core_origin,11,0.08270676691729323
toe_pre_topple_long,toe_E5_C,selection,persistence,baseline,1,ok,122,0.9172932330827067
toe_pre_topple_long,toe_E5_C,selection,persistence,baseline,2,ineligible_core_origin,12,0.09022556390977443
toe_pre_topple_long,toe_E5_C,selection,persistence,baseline,2,ok,121,0.9097744360902256
toe_pre_topple_long,toe_E5_C,selection,persistence,baseline,7,ineligible_core_origin,18,0.13533834586466165
toe_pre_topple_long,toe_E5_C,selection,persistence,baseline,7,ok,115,0.8646616541353384
toe_pre_topple_long,toe_E5_C,selection,prior_year_same_date,baseline,1,feature_unavailable,5,0.03759398496240601
toe_pre_topple_long,toe_E5_C,selection,prior_year_same_date,baseline,1,ineligible_core_origin,11,0.08270676691729323
toe_pre_topple_long,toe_E5_C,selection,prior_year_same_date,baseline,1,ok,117,0.8796992481203008
toe_pre_topple_long,toe_E5_C,selection,prior_year_same_date,baseline,2,feature_unavailable,4,0.03007518796992481
toe_pre_topple_long,toe_E5_C,selection,prior_year_same_date,baseline,2,ineligible_core_origin,12,0.09022556390977443
toe_pre_topple_long,toe_E5_C,selection,prior_year_same_date,baseline,2,ok,117,0.8796992481203008
toe_pre_topple_long,toe_E5_C,selection,prior_year_same_date,baseline,7,feature_unavailable,2,0.015037593984962405
toe_pre_topple_long,toe_E5_C,selection,prior_year_same_date,baseline,7,ineligible_core_origin,18,0.13533834586466165
toe_pre_topple_long,toe_E5_C,selection,prior_year_same_date,baseline,7,ok,113,0.849624060150376
toe_pre_topple_long,toe_E5_C,selection,zero_change,baseline,1,ineligible_core_origin,11,0.08270676691729323
toe_pre_topple_long,toe_E5_C,selection,zero_change,baseline,1,ok,122,0.9172932330827067
toe_pre_topple_long,toe_E5_C,selection,zero_change,baseline,2,ineligible_core_origin,12,0.09022556390977443
toe_pre_topple_long,toe_E5_C,selection,zero_change,baseline,2,ok,121,0.9097744360902256
